item,item_create,item_los,date
ストロベリークロワッサン,9,0,2024/01/04
ホワイトチョコクロワッサン,4,0,2024/01/04
アーモンドダマンドクロワッサン,6,0,2024/01/04
アールグレイダマンドクロワッサン,6,0,2024/01/04
ほうじ茶ダマンドクロワッサン,3,0,2024/01/04
抹茶つぶあんダマンド,0,0,2024/01/04
板チョコバタークロワッサン,6,0,2024/01/04
ソーセージクロワッサン,6,0,2024/01/04
明太マヨコロッケクロワッサン,0,0,2024/01/04
ささみカツバーガー,0,0,2024/01/04
アラビアータバーガー,4,0,2024/01/04
照り焼きチキンバーガ,4,0,2024/01/04
明太マヨコロッケバー,4,0,2024/01/04
シーザーサラダバーガ,4,0,2024/01/04
リュスティック,0,0,2024/01/04
悪魔のカレーパン,14,0,2024/01/04
とうもろこしクロックムッシュ,6,0,2024/01/04
明太ペペロンチーノフランス,4,0,2024/01/04
明太チーズオムレツサンド,6,0,2024/01/04
トマトとリコッタのタルティーヌ,4,0,2024/01/04
チョリソーとキャベツのタルティーヌ,4,0,2024/01/04
シラスとキノコのタルティーヌ,4,0,2024/01/04
ハニートースト,16,0,2024/01/04
チョコ　クロワッサンロール,5,0,2024/01/04
ストロベリー　クロワッサンロール,5,0,2024/01/04
きな粉とくるみのあんバター,7,0,2024/01/04
チョコマフィン,8,0,2024/01/04
ストロベリーマフィン,4,0,2024/01/04
フルーツパイ,6,0,2024/01/04
シナモンロール,0,0,2024/01/04
シュガーラスク,0,0,2024/01/04
チョコラスク,0,0,2024/01/04
ストロベリーラスク,0,0,2024/01/04
ホワイトラスク,0,0,2024/01/04
極上プリン カップtak,8,0,2024/01/04
ほうじ茶プリン カッップ,3,0,2024/01/04
極上プリン　ビン　Ta,2,0,2024/01/04
抹茶プリン　take,0,0,2024/01/04
フレンチトーストtake,8,0,2024/01/04
フレンチ【プレーン】,3,0,2024/01/04
フレンチ【ベリー】,2,0,2024/01/04
フレンチ【キャラメル,2,0,2024/01/04
EDWブレックファース,5,0,2024/01/04
バスクチーズtake,5,0,2024/01/04
プレーン 2斤,17,0,2024/01/05
純生 2斤,10,0,2024/01/05
プレーン　1斤,0,0,2024/01/05
アップルシナモン,4,0,2024/01/05
濃厚ショコラ,8,0,2024/01/05
ほうじ茶とホワイトチョコ,11,0,2024/01/05
プレーン1斤,0,0,2024/01/05
純生1斤,0,0,2024/01/05
ホイップバター,8,0,2024/01/05
天使のクロワッサン,12,0,2024/01/05
塩トリュフクロワッサン,6,0,2024/01/05
チョコレートクロワッサン,8,0,2024/01/05
ストロベリークロワッサン,4,0,2024/01/05
ホワイトチョコクロワッサン,7,0,2024/01/05
アーモンドダマンドクロワッサン,4,0,2024/01/05
アールグレイダマンドクロワッサン,5,0,2024/01/05
ほうじ茶ダマンドクロワッサン,0,0,2024/01/05
抹茶つぶあんダマンド,0,0,2024/01/05
板チョコバタークロワッサン,6,0,2024/01/05
ソーセージクロワッサン,6,0,2024/01/05
明太マヨコロッケクロワッサン,0,0,2024/01/05
ささみカツバーガー,2,0,2024/01/05
アラビアータバーガー,4,0,2024/01/05
照り焼きチキンバーガ,3,0,2024/01/05
明太マヨコロッケバー,4,0,2024/01/05
シーザーサラダバーガ,4,0,2024/01/05
リュスティック,1,0,2024/01/05
悪魔のカレーパン,13,0,2024/01/05
とうもろこしクロックムッシュ,6,0,2024/01/05
明太ペペロンチーノフランス,3,0,2024/01/05
明太チーズオムレツサンド,6,0,2024/01/05
トマトとリコッタのタルティーヌ,4,0,2024/01/05
チョリソーとキャベツのタルティーヌ,3,0,2024/01/05
シラスとキノコのタルティーヌ,4,0,2024/01/05
ハニートースト,12,0,2024/01/05
チョコ　クロワッサンロール,5,0,2024/01/05
ストロベリー　クロワッサンロール,4,0,2024/01/05
きな粉とくるみのあんバター,0,0,2024/01/05
チョコマフィン,9,0,2024/01/05
ストロベリーマフィン,6,0,2024/01/05
フルーツパイ,6,0,2024/01/05
シナモンロール,0,0,2024/01/05
シュガーラスク,0,0,2024/01/05
チョコラスク,0,0,2024/01/05
ストロベリーラスク,0,0,2024/01/05
ホワイトラスク,0,0,2024/01/05
極上プリン カップtak,20,0,2024/01/05
ほうじ茶プリン カッップ,7,0,2024/01/05
極上プリン　ビン　Ta,4,0,2024/01/05
抹茶プリン　take,0,0,2024/01/05
フレンチトーストtake,7,0,2024/01/05
フレンチ【プレーン】,2,0,2024/01/05
フレンチ【ベリー】,3,0,2024/01/05
フレンチ【キャラメル,3,0,2024/01/05
EDWブレックファース,0,0,2024/01/05
バスクチーズtake,3,0,2024/01/05
プレーン 2斤,16,0,2024/01/06
純生 2斤,14,0,2024/01/06
プレーン　1斤,0,0,2024/01/06
アップルシナモン,6,0,2024/01/06
濃厚ショコラ,10,0,2024/01/06
ほうじ茶とホワイトチョコ,11,0,2024/01/06
プレーン1斤,0,0,2024/01/06
純生1斤,0,0,2024/01/06
ホイップバター,8,0,2024/01/06
天使のクロワッサン,14,0,2024/01/06
塩トリュフクロワッサン,10,0,2024/01/06
チョコレートクロワッサン,8,0,2024/01/06
ストロベリークロワッサン,3,0,2024/01/06
ホワイトチョコクロワッサン,1,0,2024/01/06
アーモンドダマンドクロワッサン,7,0,2024/01/06
アールグレイダマンドクロワッサン,5,0,2024/01/06
ほうじ茶ダマンドクロワッサン,0,0,2024/01/06
抹茶つぶあんダマンド,0,0,2024/01/06
板チョコバタークロワッサン,8,0,2024/01/06
ソーセージクロワッサン,8,0,2024/01/06
明太マヨコロッケクロワッサン,1,0,2024/01/06
ささみカツバーガー,3,0,2024/01/06
アラビアータバーガー,5,0,2024/01/06
照り焼きチキンバーガ,6,0,2024/01/06
明太マヨコロッケバー,0,0,2024/01/06
シーザーサラダバーガ,7,0,2024/01/06
リュスティック,1,0,2024/01/06
悪魔のカレーパン,14,0,2024/01/06
とうもろこしクロックムッシュ,6,0,2024/01/06
明太ペペロンチーノフランス,4,0,2024/01/06
明太チーズオムレツサンド,10,0,2024/01/06
トマトとリコッタのタルティーヌ,4,0,2024/01/06
チョリソーとキャベツのタルティーヌ,3,0,2024/01/06
シラスとキノコのタルティーヌ,6,0,2024/01/06
ハニートースト,12,0,2024/01/06
チョコ　クロワッサンロール,5,0,2024/01/06
ストロベリー　クロワッサンロール,3,0,2024/01/06
きな粉とくるみのあんバター,14,0,2024/01/06
チョコマフィン,9,0,2024/01/06
ストロベリーマフィン,5,0,2024/01/06
フルーツパイ,6,0,2024/01/06
シナモンロール,0,0,2024/01/06
シュガーラスク,0,0,2024/01/06
チョコラスク,0,0,2024/01/06
ストロベリーラスク,0,0,2024/01/06
ホワイトラスク,0,0,2024/01/06
極上プリン カップtak,11,0,2024/01/06
ほうじ茶プリン カッップ,4,0,2024/01/06
極上プリン　ビン　Ta,10,0,2024/01/06
抹茶プリン　take,0,0,2024/01/06
フレンチトーストtake,16,0,2024/01/06
フレンチ【プレーン】,9,0,2024/01/06
フレンチ【ベリー】,3,0,2024/01/06
フレンチ【キャラメル,4,0,2024/01/06
EDWブレックファース,3,0,2024/01/06
バスクチーズtake,0,0,2024/01/06
プレーン 2斤,27,0,2024/01/07
純生 2斤,15,0,2024/01/07
プレーン　1斤,0,0,2024/01/07
アップルシナモン,7,0,2024/01/07
濃厚ショコラ,8,0,2024/01/07
ほうじ茶とホワイトチョコ,9,0,2024/01/07
プレーン1斤,0,0,2024/01/07
純生1斤,0,0,2024/01/07
ホイップバター,8,0,2024/01/07
天使のクロワッサン,19,0,2024/01/07
塩トリュフクロワッサン,9,0,2024/01/07
チョコレートクロワッサン,12,0,2024/01/07
ストロベリークロワッサン,6,0,2024/01/07
ホワイトチョコクロワッサン,6,0,2024/01/07
アーモンドダマンドクロワッサン,6,0,2024/01/07
アールグレイダマンドクロワッサン,6,0,2024/01/07
ほうじ茶ダマンドクロワッサン,0,0,2024/01/07
抹茶つぶあんダマンド,0,0,2024/01/07
板チョコバタークロワッサン,9,0,2024/01/07
ソーセージクロワッサン,8,0,2024/01/07
明太マヨコロッケクロワッサン,0,0,2024/01/07
ささみカツバーガー,4,0,2024/01/07
アラビアータバーガー,6,0,2024/01/07
照り焼きチキンバーガ,6,0,2024/01/07
明太マヨコロッケバー,6,0,2024/01/07
シーザーサラダバーガ,5,0,2024/01/07
リュスティック,7,0,2024/01/07
悪魔のカレーパン,17,0,2024/01/07
とうもろこしクロックムッシュ,10,0,2024/01/07
明太ペペロンチーノフランス,4,0,2024/01/07
明太チーズオムレツサンド,9,0,2024/01/07
トマトとリコッタのタルティーヌ,6,0,2024/01/07
チョリソーとキャベツのタルティーヌ,6,0,2024/01/07
シラスとキノコのタルティーヌ,6,0,2024/01/07
ハニートースト,15,0,2024/01/07
チョコ　クロワッサンロール,3,0,2024/01/07
ストロベリー　クロワッサンロール,6,0,2024/01/07
きな粉とくるみのあんバター,11,0,2024/01/07
チョコマフィン,13,0,2024/01/07
ストロベリーマフィン,4,0,2024/01/07
フルーツパイ,6,0,2024/01/07
シナモンロール,0,0,2024/01/07
シュガーラスク,0,0,2024/01/07
チョコラスク,0,0,2024/01/07
ストロベリーラスク,0,0,2024/01/07
ホワイトラスク,0,0,2024/01/07
極上プリン カップtak,28,0,2024/01/07
ほうじ茶プリン カッップ,10,0,2024/01/07
極上プリン　ビン　Ta,11,0,2024/01/07
抹茶プリン　take,0,0,2024/01/07
フレンチトーストtake,21,0,2024/01/07
フレンチ【プレーン】,6,0,2024/01/07
フレンチ【ベリー】,4,0,2024/01/07
フレンチ【キャラメル,1,0,2024/01/07
EDWブレックファース,0,0,2024/01/07
バスクチーズtake,0,0,2024/01/07
